,market,pair,trade_price,trade_volume
105,OKEx,XRP/BTC,$9091.11,"$8,673,410"
106,Bittrex,XLM/BTC,$9085.91,"$8,588,320"
107,Binance,ENJ/BTC,$8993.89,"$8,488,920"
108,Livecoin,ETH/BTC,$9083.07,"$8,443,150"
109,Upbit,SLS/BTC,$9001.53,"$8,154,790"
110,Binance,DASH/BTC,$9091.19,"$7,903,570"
111,Binance,ENG/BTC,$9047.40,"$7,869,890"
112,Binance,XMR/BTC,$9071.83,"$7,867,370"
113,Upbit,LRC/BTC,$9093.27,"$7,789,950"
114,Bittrex,UP/BTC,$9009.87,"$7,738,090"
115,Poloniex,XRP/BTC,$9165.94,"$7,574,450"
116,EXX,BCC/BTC,$9116.97,"$7,359,950"
117,Upbit,XEM/BTC,$9233.32,"$7,268,080"
118,Lbank,ETH/BTC,$9037.70,"$7,132,520"
119,Bit-Z,DASH/BTC,$9091.19,"$7,127,640"
120,Binance,ELF/BTC,$9090.19,"$7,030,160"
121,Binance,STRAT/BTC,$9116.21,"$6,988,610"
122,Binance,NULS/BTC,$9113.40,"$6,979,570"
123,Binance,OMG/BTC,$9093.39,"$6,883,210"
124,Lbank,ZEC/BTC,$9048.82,"$6,850,550"
125,BitBay,BTC/PLN,$9011.73,"$6,724,300"
126,Bitfinex,BCH/BTC,$9049.73,"$6,712,570"
127,Huobi,ELA/BTC,$9058.86,"$6,668,150"
128,ZB.COM,EOS/BTC,$9041.20,"$6,645,980"
129,Binance,LRC/BTC,$9116.91,"$6,644,070"
130,BCEX,ETH/BTC,$8383.94,"$6,568,370"
131,Binance,BQX/BTC,$9049.38,"$6,519,420"
132,Bitinka,BTC/USD,$9166.47,"$6,459,120"
133,WEX,BCH/BTC,$9084.62,"$6,437,570"
134,HitBTC,ZEC/BTC,$9084.06,"$6,345,690"
135,Bittrex,XRP/BTC,$9082.74,"$6,296,950"
136,EXX,LTC/BTC,$9097.07,"$6,108,020"
137,Bittrex,LRC/BTC,$9093.27,"$6,058,360"
138,Binance,EDO/BTC,$9005.82,"$5,883,870"
139,CoinsBank,BTC/GBP,$9011.28,"$5,882,650"
140,Upbit,XLM/BTC,$9085.91,"$5,859,960"
141,Huobi,ICX/BTC,$9044.99,"$5,855,220"
142,Bitfinex,XRP/BTC,$9103.10,"$5,657,740"
143,Exmo,BTC/RUB,$8706.62,"$5,563,400"
144,Binance,BCPT/BTC,$9092.94,"$5,553,860"
145,YoBit,ETH/BTC,$9053.29,"$5,547,120"
146,Binance,SUB/BTC,$9093.58,"$5,499,830"
147,Liqui,SRN/BTC,$8985.63,"$5,490,520"
148,Binance,MOD/BTC,$9036.18,"$5,460,270"
149,GetBTC,BTC/RUB,$9292.54,"$5,451,370"
150,Binance,WAVES/BTC,$9056.49,"$5,416,400"
151,GetBTC,BTC/USD,$9140.45,"$5,362,150"
152,GetBTC,BTC/EUR,$9132.17,"$5,357,300"
153,Bitfinex,MIOTA/BTC,$9142.85,"$5,333,560"
154,Gate.io,BTC/USDT,$9053.44,"$5,239,260"
155,Poloniex,STR/BTC,$9085.91,"$5,223,630"
156,Kraken,ETH/BTC,$9062.39,"$5,184,090"
157,Bit-Z,NULS/BTC,$9077.40,"$5,054,490"
158,Huobi,MEE/BTC,$9057.16,"$5,039,050"
159,Binance,ONT/BTC,$9082.64,"$4,975,910"
160,Poloniex,XEM/BTC,$9064.37,"$4,963,930"
161,Luno,BTC/ZAR,$9323.30,"$4,963,280"
162,Huobi,DASH/BTC,$9096.75,"$4,938,480"
163,Binance,SALT/BTC,$9105.64,"$4,936,880"
164,Binance,AST/BTC,$9119.20,"$4,896,780"
165,Binance,VIBE/BTC,$9133.14,"$4,889,790"
166,Bitinka,BTC/EUR,$9240.73,"$4,872,090"
167,Huobi,XEM/BTC,$9200.45,"$4,802,310"
