,market,pair,trade_price,trade_volume
107,CoinExchange,BIGUP/DOGE,$0.003341,$88
108,Bleutrade,CDN/DOGE,$0.003446,$85
109,CryptoBridge,XP/DOGE,$0.004240,$84
110,Bleutrade,FJC/DOGE,$0.004337,$79
111,Trade Satoshi,XSH/DOGE,$0.003583,$76
112,Trade Satoshi,DOGE/BCH,$0.003657,$68
113,Coingi,DOGE/BTC,$0.003616,$56
114,Bittylicious,DOGE/GBP,$0.004075,$53
115,CoinExchange,GOOD/DOGE,$0.003406,$52
116,Trade Satoshi,BRO/DOGE,$0.003430,$47
117,Bleutrade,NLG/DOGE,$0.003664,$43
118,Trade Satoshi,BUZZ/DOGE,$0.002057,$41
119,Trade Satoshi,LDOGE/DOGE,$0.002687 ,$39
120,Bleutrade,BTA/DOGE,$0.005685,$39
121,OpenLedger DEX,DOGE/BITUSD,$0.003848,$38
122,Bleutrade,SLG/DOGE,$0.003049,$37
123,Bleutrade,UNO/DOGE,$0.003838,$36
124,Trade Satoshi,DGB/DOGE,$0.002477,$32 
125,Bleutrade,START/DOGE,$0.002965,$31
126,Trade Satoshi,1337/DOGE,$0.002830,$30
127,Trade Satoshi,FLAP/DOGE,$0.043287,$29
128,CoinExchange,CRAVE/DOGE,$0.004286,$29
129,Bleutrade,MONA/DOGE,$0.004031,$27
130,Bleutrade,ADC/DOGE,$0.003521,$26
131,Bleutrade,ETH/DOGE,$0.005201,$22
132,SouthXchange,DOGE/USD,$0.003700,$22
133,CRXzone,DOGE/SGD,$0.003953,$20
134,Trade Satoshi,BCC/DOGE,$0.003873,$18
135,CoinExchange,TELL/DOGE,$0.003613,$18
136,CoinExchange,HONEY/DOGE,$0.003607,$18
137,Bleutrade,BCC/DOGE,$0.003809,$16
138,Bleutrade,BITB/DOGE, $0.003730,$14
139,C-CEX,XBY/DOGE,$0.004552,$14
140,Bleutrade,BLK/DOGE,$0.004403,$14
141,Bleutrade,DCR/DOGE,$0.003755,$13
142,CoinFalcon,DOGE/ETH,$0.003410,$13
143,Bleutrade,POT/DOGE,$0.003792,$12 
144,BitFlip,DOGE/EUR,$0.004073,$12
145,Coinbe,DOGE/BTC,$0.003887,$11
146,Trade Satoshi,VOT/DOGE,$0.003673,$11
147,Bleutrade,WDC/DOGE,$0.003984,$9
148,Bleutrade,GB/DOGE,$0.003649,$8
149,Bleutrade,VTC/DOGE,$0.003168,$8
150,Bleutrade,TROLL/DOGE,$0.003588,$7
151,C-CEX,LINDA/DOGE,$0.003776,$7
152,Bleutrade,VRC/DOGE,$0.003372,$6
153,Bleutrade,BSTY/DOGE,$0.003406,$6
154,Bleutrade,DASH/DOGE,$0.003714,$6
155,Trade Satoshi,XVG/DOGE,$0.003970,$5
156,Trade Satoshi,ZNY/DOGE,$0.003305,$4
157,Bleutrade,DGC/DOGE,$0.003557,$4
158,Bleutrade,NEOS/DOGE,$0.003676,$4
159,Trade Satoshi,8BIT/DOGE,$0.001919,$3
160,Trade Satoshi,NKA/DOGE,$0.005837,$3
161,Trade Satoshi,BCH/DOGE,$0.002798,$3
162,C-CEX,BQ/DOGE,$0.003027,$2 
163,Bleutrade,PPC/DOGE,$0.003909,$2
164,C-CEX,BTCZ/DOGE,$0.002987,$2
165,Trade Satoshi,DASH/DOGE,$0.004282,$1
166,Bleutrade,SLR/DOGE,$0.004774,$1
167,Trade Satoshi,AIB/DOGE,$0.004112,$1
168,Trade Satoshi,BUMBA/DOGE,$0.004908,$1
169,BitFlip,DOGE/UAH,$0.004755,$1
170,Bleutrade,BTCD/DOGE,$0.003690,$1
171,Trade Satoshi,HALLO/DOGE,$0.004959,$1
172,Trade Satoshi,ZEC/DOGE,$0.003030,$1
173,Bleutrade,DP/DOGE,$0.003828,$0
174,Bleutrade,EFL/DOGE,$0.003520,$0
175,Bleutrade,NVC/DOGE,$0.002399,$0
176,Bleutrade,ZET/DOGE,$0.002629,$0
177,Bleutrade,EXP/DOGE,$0.003374,$0
178,Bleutrade,XVP/DOGE,$0.003285,$0
179,Bleutrade,NMC/DOGE,$0.003243,$0
180,Bleutrade,QTUM/DOGE,$0.005438,$0
181,NIX-E,DOGE/USD,$0.020000,$0
182,Bleutrade,BTG/DOGE,$0.003869,$0
183,Trade Satoshi,TRC/DOGE,$0.003369,$0
184,Bleutrade,XPM/DOGE,$0.004365,$0
185,Bleutrade,CLAM/DOGE,$0.002585,$0
186,Trade Satoshi,4CHN/DOGE,$0.002515,$0
187,Coingi,DOGE/USD,$0.003680,$0
188,Trade Satoshi,BOLI/DOGE,$0.001859,$0
189,Trade Satoshi,GRIM/DOGE,$0.002748,$0
190,Trade Satoshi,HSR/DOGE,$0.006250,$0
191,C-CEX,TRC/DOGE,$0.004043,$0
192,Bittylicious,DOGE/EUR,$0.003484,$0
