,market,pair,trade_price,trade_volume
157,Huobi,SNC/ETH,$562.07,"$1,413,860"
158,Huobi,WICC/ETH,$580.83,"$1,410,210"
159,WEX,DSH/ETH,$570.93,"$1,403,100"
160,HitBTC,BCH/ETH,$573.07,"$1,400,050"
161,Bibox,BIX/ETH,$572.22,"$1,389,440"
162,Huobi,MTX/ETH,$575.39,"$1,379,830"
163,Huobi,SOC/ETH,$563.16,"$1,370,120"
164,Binance,ETC/ETH,$573.65,"$1,367,440"
165,Huobi,ACT/ETH,$559.60,"$1,361,140"
166,Binance,ZIL/ETH,$572.76,"$1,357,470"
167,WEX,ETH/LTC,$572.11,"$1,353,470"
168,Binance,OMG/ETH,$574.37,"$1,335,940"
169,Qryptos,DRG/ETH,$572.44,"$1,307,450"
170,Bibox,CAT/ETH,$581.34,"$1,296,450"
171,Binance,VIBE/ETH,$577.34,"$1,278,100"
172,Huobi,BAT/ETH,$572.96,"$1,271,400"
173,Huobi,SALT/ETH,$574.34,"$1,270,160"
174,Huobi,TOPC/ETH,$583.07,"$1,250,640"
175,Huobi,EKO/ETH,$573.07,"$1,240,420"
176,Binance,ENG/ETH,$572.59,"$1,225,910"
177,Kucoin,ETH/USDT,$572.22,"$1,216,790"
178,Huobi,ADX/ETH,$573.13,"$1,206,380"
179,Bitcoin Indonesia,ETH/IDR,$578.67,"$1,178,570"
180,Huobi,LINK/ETH,$572.74,"$1,166,660"
181,Huobi,EVX/ETH,$575.58,"$1,153,590"
182,Liqui,ADX/ETH,$570.41,"$1,151,690"
183,Huobi,DBC/ETH,$574.16,"$1,144,600"
184,Binance,KNC/ETH,$574.45,"$1,143,240"
185,Fatbtc,ETH/CNY,$566.49,"$1,141,770"
186,OEX,ETH/CNY,$532.87,"$1,120,830"
187,Liqui,ETH/USDT,$563.50,"$1,095,040"
188,Bibox,FSN/ETH,$572.91,"$1,091,300"
189,Qryptos,TRX/ETH,$590.32,"$1,052,550"
190,Huobi,POWR/ETH,$577.89,"$1,033,710"
191,Bibox,ETH/USDT,$571.02,"$1,003,280"
192,Binance,ZRX/ETH,$576.07,"$988,065"
193,Huobi,REQ/ETH,$572.80,"$987,420"
194,Bittrex,XRP/ETH,$573.05,"$985,187"
195,Huobi,DAT/ETH,$581.17,"$977,887"
196,Liqui,LDC/ETH,$579.65,"$976,683"
197,Binance,MOD/ETH,$573.63,"$975,846"
198,Huobi,AIDOC/ETH,$573.67,"$969,473"
199,bitFlyer,ETH/BTC,$574.33,"$964,602"
200,Tidex,TDX/ETH,$577.68,"$959,267"
201,Huobi,UTK/ETH,$572.59,"$958,847"
202,CoinBene,ETH/BTC,$572.42,"$950,570"
203,Bit-Z,NULS/ETH,$574.87,"$948,892"
204,Binance,CTR/ETH,$567.64,"$936,692"
205,Liqui,GUP/ETH,$568.12,"$935,960"
206,QuadrigaCX,ETH/CAD,$576.59,"$929,800"
207,Binance,ENJ/ETH,$572.95,"$928,725"
208,HitBTC,SNC/ETH,$586.37,"$913,454"
209,COSS,COSS/ETH,$572.94,"$911,635"
210,OKEx,RCT/ETH,$564.90,"$903,894"
211,OKEx,DADI/ETH,$561.67,"$903,824"
212,Binance,XVG/ETH,$572.61,"$895,659"
213,HitBTC,XMR/ETH,$573.18,"$894,545"
214,Huobi,SRN/ETH,$568.46,"$894,470"
215,Binance,LINK/ETH,$572.22,"$871,718"
