,market,pair,trade_price,trade_volume
111,BitMarket,LTC/PLN,$168.96,"$83,459"
112,CoinEx,LTC/BCH,$172.00,"$81,320 "
113,Kucoin,LTC/ETH,$171.55,"$80,576"
114,BL3P,LTC/EUR,$168.00,"$80,223"
115,xBTCe,ETH/LTC,$178.00,"$77,148"
116,Exmo,LTC/EUR,$175.27,"$74,945"
117,xBTCe,LTC/JPY,$166.22,"$64,559"
118,LiteBit.eu,LTC/EUR,$172.97,"$60,832"
119,Tidex,LTC/ETH,$171.05,"$54,478"
120,Cryptopia,LTC/USDT,$170.72,"$54,368"
121,Upbit,LTC/USDT,$170.66,"$53,284"
122,Poloniex,LTC/XMR,$172.10,"$52,986"
123,Upbit,LTC/ETH,$171.61,"$45,650"
124,Tidex,LTC/USDT,$169.66,"$43,902"
125,Altcoin Trader,LTC/ZAR,$177.34,"$40,428"
126,Gate.io,LTC/BTC,$171.83,"$38,884"
127,Mercatox,ETH/LTC,$169.40,"$32,973"
128,Tidex,LTC/WAVES,$171.70,"$32,876"
129,BTC-Alpha,LTC/USD,$176.86,"$29,154"
130,Trade Satoshi,LTC/BTC,$171.92,"$27,407"
131,Stocks.Exchange,LTC/BTC,$171.92,"$27,200"
132,Bitbank,LTC/BTC,$174.72,"$25,629"
133,C-CEX,LTC/BTC,$171.65,"$24,107"
134,OKEx,LTC/BCH,$171.66,"$24,050"
135,Coinnest,LTC/KRW,$155.86,"$23,811"
136,Negocie Coins,LTC/BRL,$182.05,"$23,186"
137,Bitcoin Indonesia,LTC/BTC,$171.97,"$23,123"
138,AEX,LTC/USDT,$169.86,"$19,985"
139,Coinut,ETH/LTC,$172.18,"$19,388"
140,Bitbns,LTC/INR,$184.23,"$19,268"
141,SouthXchange,LTC/BTC,$171.47,"$18,618"
142,SouthXchange,LTC/USD,$173.88,"$15,449"
143,BTC Trade UA,LTC/UAH,$168.53,"$14,461"
144,Bitso,LTC/BTC,$170.20,"$14,152"
