,market,pair,trade_price,trade_volume
116,SouthXchange,DASH/BCH,$443.81,$1
117,OpenLedger DEX,DASH/BTC,$455.35,$0
118,LocalTrade,EDR/DASH,$652.09,$0
119,C-CEX,DASH/LTC,$377.79,$0
120,Bittylicious,DASH/EUR,$692.08,$0
121,Quoine,DASH/USD,$503.63,$0
122,CoinExchange,DASH/ETH,$394.81,$0
123,Tux Exchange,DASH/BTC,$420.99,$0
124,Bisq,DASH/BTC,$483.17,$0
125,Trade Satoshi,DASH/LTC,$412.13 ,$0
126,Trade Satoshi,DASH/USDT,$500.23,$0
127,ACX,DASH/BTC,$433.94,$0
128,OKEx,DASH/BCH,$423.54,$0
129,BitFlip,DASH/EUR,$462.91,$0
130,BitFlip,DASH/UAH,$169.41,$0
131,Abucoins,DASH/BTC,$433.87,$0
132,Coinrail,DASH/KRW,$513.20,$0
133,Coinbe,DASH/BTC,$471.45,$0
134,Trade By Trade,DASH/BTC,$4.34,"$900,692"
